collection_id,name,color,description
central,Central Campus,#154734,"The academic core, from the Green east to East Avenue."
trinity,Trinity Campus,#1d6fe0,"The former Trinity College grounds, north of Colchester Avenue."
centennial,Centennial Campus,#8a5a00,"East of East Avenue, running into Centennial Woods."
redstone,Redstone Campus,#a3123a,The residential campus on the old Redstone estate.
athletic,Athletic Campus,#6b21a8,"Playing fields, the track and the athletic facilities."
spear,Spear Street Campus,#0f766e,"The detached research and farm land south of the main campus, along Spear Street."
